BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
3460	4211425	3460	Plate 1 x 8	86	71	Light Bluish Gray	Solid Colors	1	1.36
3460	6156492	3460	Plate 1 x 8	69	28	Dark Tan	Solid Colors	7	1.36
3460	4210998	3460	Plate 1 x 8	85	72	Dark Bluish Gray	Solid Colors	1	1.36
3622	362201	3622	Brick 1 x 3	1	15	White	Solid Colors	6	1.24
3622	4162465	3622	Brick 1 x 3	2	19	Tan	Solid Colors	12	1.24
3622	4211428	3622	Brick 1 x 3	86	71	Light Bluish Gray	Solid Colors	6	1.24
3622	362226	3622	Brick 1 x 3	11	0	Black	Solid Colors	3	1.24
3623	362326	3623	Plate 1 x 3	11	0	Black	Solid Colors	1	0.53
3623	4211152	3623	Plate 1 x 3	88	70	Reddish Brown	Solid Colors	5	0.53
3623	4211133	3623	Plate 1 x 3	85	72	Dark Bluish Gray	Solid Colors	10	0.53
3623	6186007	3623	Plate 1 x 3	68	484	Dark Orange	Solid Colors	1	0.53
3623	6013975	3623	Plate 1 x 3	80	288	Dark Green	Solid Colors	5	0.53
3623	4211429	3623	Plate 1 x 3	86	71	Light Bluish Gray	Solid Colors	5	0.53
3623	4121921	3623	Plate 1 x 3	2	19	Tan	Solid Colors	8	0.53
3659	4550323	3659	Brick, Arch 1 x 4	2	19	Tan	Solid Colors	5	1.25
3659	4596218	3659	Brick, Arch 1 x 4	69	28	Dark Tan	Solid Colors	1	1.25
3660	4118866	3660	Slope, Inverted 45 2 x 2	2	19	Tan	Solid Colors	4	1.25
3665	4211437	3665	Slope, Inverted 45 2 x 1	86	71	Light Bluish Gray	Solid Colors	29	0.66
3665	366526	3665	Slope, Inverted 45 2 x 1	11	0	Black	Solid Colors	4	0.66
3666	366628	3666	Plate 1 x 6	6	2	Green	Solid Colors	1	1.06
3666	4221590	3666	Plate 1 x 6	88	70	Reddish Brown	Solid Colors	4	1.06
3666	4211056	3666	Plate 1 x 6	85	72	Dark Bluish Gray	Solid Colors	1	1.06
3666	4211438	3666	Plate 1 x 6	86	71	Light Bluish Gray	Solid Colors	1	1.06
3666	4124067	3666	Plate 1 x 6	2	19	Tan	Solid Colors	4	1.06
3666	4245566	3666	Plate 1 x 6	80	288	Dark Green	Solid Colors	1	1.06
3673	4211807	3673	Technic, Pin without Friction Ridges Lengthwise	86	71	Light Bluish Gray	Solid Colors	1	0.16
3673		3673	Technic, Pin without Friction Ridges Lengthwise	7	1	Blue	Solid Colors	2	0.16
3678b	4234534	3678b	Slope 65 2 x 2 x 2 with Bottom Tube	85	72	Dark Bluish Gray	Solid Colors	3	2.09
3688	4645099	3688	Slope 75 2 x 2 x 2 Quadruple Convex	85	72	Dark Bluish Gray	Solid Colors	4	1.32
3700	4205107	3700	Technic, Brick 1 x 2 with Hole	2	19	Tan	Solid Colors	1	0.82
3701	4234365	3701	Technic, Brick 1 x 4 with Holes	2	19	Tan	Solid Colors	8	1.46
3707	370726	3707	Technic, Axle 8	11	0	Black	Solid Colors	2	1.18
3710	4626904	3710	Plate 1 x 4	69	28	Dark Tan	Solid Colors	9	0.71
3710	6074892	3710	Plate 1 x 4	68	484	Dark Orange	Solid Colors	2	0.71
3710	4113233	3710	Plate 1 x 4	2	19	Tan	Solid Colors	14	0.71
3710	4211001	3710	Plate 1 x 4	85	72	Dark Bluish Gray	Solid Colors	4	0.71
3710	4211445	3710	Plate 1 x 4	86	71	Light Bluish Gray	Solid Colors	2	0.71
3710	4211190	3710	Plate 1 x 4	88	70	Reddish Brown	Solid Colors	2	0.71
3710	371028	3710	Plate 1 x 4	6	2	Green	Solid Colors	2	0.71
3710	6020923	3710	Plate 1 x 4	80	288	Dark Green	Solid Colors	1	0.71
3794b	4211451	3794b	Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)	86	71	Light Bluish Gray	Solid Colors	9	0.3
3794b	4211119	3794b	Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)	85	72	Dark Bluish Gray	Solid Colors	6	0.3
3794b	4155708	3794b	Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)	2	19	Tan	Solid Colors	6	0.3
3795	4550329	3795	Plate 2 x 6	69	28	Dark Tan	Solid Colors	7	1.74
3795	4211452	3795	Plate 2 x 6	86	71	Light Bluish Gray	Solid Colors	26	1.74
3795	379528	3795	Plate 2 x 6	6	2	Green	Solid Colors	4	1.74
3795	4211247	3795	Plate 2 x 6	88	70	Reddish Brown	Solid Colors	4	1.74
3795	379521	3795	Plate 2 x 6	5	4	Red	Solid Colors	4	1.74
3795	4113993	3795	Plate 2 x 6	2	19	Tan	Solid Colors	2	1.74
3795	4245554	3795	Plate 2 x 6	80	288	Dark Green	Solid Colors	12	1.74
3832	383223	3832	Plate 2 x 10	7	1	Blue	Solid Colors	1	2.91
3832	4211462	3832	Plate 2 x 10	86	71	Light Bluish Gray	Solid Colors	2	2.91
3832	383221	3832	Plate 2 x 10	5	4	Red	Solid Colors	1	2.91
3832	383228	3832	Plate 2 x 10	6	2	Green	Solid Colors	3	2.91
3941	614321	3941	Brick, Round 2 x 2 with Axle Hole	5	4	Red	Solid Colors	1	1.2
3941	4125220	3941	Brick, Round 2 x 2 with Axle Hole	2	19	Tan	Solid Colors	53	1.2
3941	4249139	3941	Brick, Round 2 x 2 with Axle Hole	85	72	Dark Bluish Gray	Solid Colors	2	1.2
3941	4211166	3941	Brick, Round 2 x 2 with Axle Hole	88	70	Reddish Brown	Solid Colors	1	1.2
3942c	6057616	3942c	Cone 2 x 2 x 2 - Completely Open Stud	86	71	Light Bluish Gray	Solid Colors	1	1.32
3942c	6092666	3942c	Cone 2 x 2 x 2 - Completely Open Stud	85	72	Dark Bluish Gray	Solid Colors	17	1.32
3943b	4296788	3943b	Cone 4 x 4 x 2 with Axle Hole	85	72	Dark Bluish Gray	Solid Colors	3	3.46
3943b	6199554	3943b	Cone 4 x 4 x 2 with Axle Hole	86	71	Light Bluish Gray	Solid Colors	1	3.46
3958	4217848	3958	Plate 6 x 6	88	70	Reddish Brown	Solid Colors	3	4.71
4032b	4211159	4032b	Plate, Round 2 x 2 with Axle Hole - X Opening	88	70	Reddish Brown	Solid Colors	3	0.41
4032b	4140562	4032b	Plate, Round 2 x 2 with Axle Hole - X Opening	2	19	Tan	Solid Colors	11	0.41
4032b	4211042	4032b	Plate, Round 2 x 2 with Axle Hole - X Opening	85	72	Dark Bluish Gray	Solid Colors	6	0.41
4032b		4032b	Plate, Round 2 x 2 with Axle Hole - X Opening	36	10	Bright Green	Solid Colors	16	0.41
4032b	403228	4032b	Plate, Round 2 x 2 with Axle Hole - X Opening	6	2	Green	Solid Colors	27	0.41
4032b	4211475	4032b	Plate, Round 2 x 2 with Axle Hole - X Opening	86	71	Light Bluish Gray	Solid Colors	5	0.41
4070	4118793	4070	Brick, Modified 1 x 1 with Headlight	2	19	Tan	Solid Colors	74	0.36
4070	4211044	4070	Brick, Modified 1 x 1 with Headlight	85	72	Dark Bluish Gray	Solid Colors	2	0.36
41767	4160327	41767	Wedge 4 x 2 Right	2	19	Tan	Solid Colors	3	1.86
41769	4210782	41769	Wedge, Plate 4 x 2 Right	85	72	Dark Bluish Gray	Solid Colors	4	0.83
41769	4543259	41769	Wedge, Plate 4 x 2 Right	6	2	Green	Solid Colors	1	0.83
41770	4210788	41770	Wedge, Plate 4 x 2 Left	85	72	Dark Bluish Gray	Solid Colors	4	0.83
4266		4266	Wheel 20 x 30 Technic (4 studs D.)	2	19	Tan	Solid Colors	4	5.29
4282	428221	4282	Plate 2 x 16	5	4	Red	Solid Colors	18	4.5
4282	4583692	4282	Plate 2 x 16	80	288	Dark Green	Solid Colors	9	4.5
4282		4282	Plate 2 x 16	7	1	Blue	Solid Colors	1	4.5
4282	4211486	4282	Plate 2 x 16	86	71	Light Bluish Gray	Solid Colors	12	4.5
4282		4282	Plate 2 x 16	88	70	Reddish Brown	Solid Colors	2	4.5
4286	4211488	4286	Slope 33 3 x 1	86	71	Light Bluish Gray	Solid Colors	100	0.98
4286	6167466	4286	Slope 33 3 x 1	34	27	Lime	Solid Colors	2	0.98
4286	4107637	4286	Slope 33 3 x 1	6	2	Green	Solid Colors	3	0.98
4286	428626	4286	Slope 33 3 x 1	11	0	Black	Solid Colors	2	0.98
4287	428726	4287	Slope, Inverted 33 3 x 1	11	0	Black	Solid Colors	2	0.94
43719	4561036	43719	Wedge, Plate 4 x 4	85	72	Dark Bluish Gray	Solid Colors	4	1.2
4460b	4129996	4460b	Slope 75 2 x 1 x 3 - Hollow Stud	2	19	Tan	Solid Colors	1	1.68
4460b	4221745	4460b	Slope 75 2 x 1 x 3 - Hollow Stud	85	72	Dark Bluish Gray	Solid Colors	2	1.68
4460b	4211494	4460b	Slope 75 2 x 1 x 3 - Hollow Stud	86	71	Light Bluish Gray	Solid Colors	195	1.68
4477	4223683	4477	Plate 1 x 10	88	70	Reddish Brown	Solid Colors	2	1.61
4477		4477	Plate 1 x 10	80	288	Dark Green	Solid Colors	1	1.61
4477	4143409	4477	Plate 1 x 10	2	19	Tan	Solid Colors	1	1.61
4477	4257526	4477	Plate 1 x 10	85	72	Dark Bluish Gray	Solid Colors	1	1.61
4477	447726	4477	Plate 1 x 10	11	0	Black	Solid Colors	1	1.61
4490	4618651	4490	Brick, Arch 1 x 3	2	19	Tan	Solid Colors	24	0.87
4589	4567331	4589	Cone 1 x 1 without Top Groove	14	33	Trans-Dark Blue	Transparent Colors	1	0.26
4589	4529236	4589	Cone 1 x 1 without Top Groove	11	0	Black	Solid Colors	2	0.26
4589	4529237	4589	Cone 1 x 1 without Top Groove	2	19	Tan	Solid Colors	28	0.26
4589	4529242	4589	Cone 1 x 1 without Top Groove	88	70	Reddish Brown	Solid Colors	91	0.26
4589	4529240	4589	Cone 1 x 1 without Top Groove	85	72	Dark Bluish Gray	Solid Colors	51	0.26
4623	4239272	4623	Plate, Modified 1 x 2 with Arm Up (Horizontal Arm Length 6mm)	2	19	Tan	Solid Colors	2	0.5
4740	474001	4740	Dish 2 x 2 Inverted (Radar)	1	15	White	Solid Colors	1	0.28
4740	474026	4740	Dish 2 x 2 Inverted (Radar)	11	0	Black	Solid Colors	1	0.28
4742		4742	Cone 4 x 4 x 2 Hollow No Studs	1	15	White	Solid Colors	1	3.77
47905	4213568	47905	Brick, Modified 1 x 1 with Studs on 2 Sides	2	19	Tan	Solid Colors	1	0.45
48092	6006805	48092	Brick, Round Corner 4 x 4 Macaroni Wide with 3 Studs	2	19	Tan	Solid Colors	12	2.0
47543	4629798	47543	Cone Half 8 x 4 x 6	86	71	Light Bluish Gray	Solid Colors	2	9.84
54200	4504378	54200	Slope 30 1 x 1 x 2/3	85	72	Dark Bluish Gray	Solid Colors	147	0.21
54200	4504369	54200	Slope 30 1 x 1 x 2/3	1	15	White	Solid Colors	3	0.21
54200	4516055	54200	Slope 30 1 x 1 x 2/3	2	19	Tan	Solid Colors	10	0.21
54200	4546705	54200	Slope 30 1 x 1 x 2/3	6	2	Green	Solid Colors	11	0.21
54200	4521921	54200	Slope 30 1 x 1 x 2/3	86	71	Light Bluish Gray	Solid Colors	1	0.21
60474	4515351	60474	Plate, Round 4 x 4 with Hole	86	71	Light Bluish Gray	Solid Colors	1	1.6
60474	4528323	60474	Plate, Round 4 x 4 with Hole	85	72	Dark Bluish Gray	Solid Colors	1	1.6
60477	6013497	60477	Slope 18 4 x 1	86	71	Light Bluish Gray	Solid Colors	30	1.1
60479	6133611	60479	Plate 1 x 12	85	72	Dark Bluish Gray	Solid Colors	1	1.95
60479	4514846	60479	Plate 1 x 12	86	71	Light Bluish Gray	Solid Colors	3	1.95
60479	4519825	60479	Plate 1 x 12	120	308	Dark Brown	Solid Colors	1	1.95
60481	4515374	60481	Slope 65 2 x 1 x 2	86	71	Light Bluish Gray	Solid Colors	64	1.16
61252	4579354	61252	Plate, Modified 1 x 1 with Clip Horizontal (thick open O clip)	85	72	Dark Bluish Gray	Solid Colors	4	0.27
4073	4210633	4073	Plate, Round 1 x 1 Straight Side	85	72	Dark Bluish Gray	Solid Colors	15	0.12
4073	4161734	4073	Plate, Round 1 x 1 Straight Side	2	19	Tan	Solid Colors	66	0.12
4073	614126	4073	Plate, Round 1 x 1 Straight Side	11	0	Black	Solid Colors	7	0.12
4073	4569058	4073	Plate, Round 1 x 1 Straight Side	6	2	Green	Solid Colors	87	0.12
4073	4183133	4073	Plate, Round 1 x 1 Straight Side	34	27	Lime	Solid Colors	124	0.12
4073	4211525	4073	Plate, Round 1 x 1 Straight Side	86	71	Light Bluish Gray	Solid Colors	3	0.12
4073	4216581	4073	Plate, Round 1 x 1 Straight Side	88	70	Reddish Brown	Solid Colors	13	0.12
6222		6222	Brick, Round 4 x 4 with 4 Side Pin Holes and Center Axle Hole	2	19	Tan	Solid Colors	9	3.57
63864	4558169	63864	Tile 1 x 3	86	71	Light Bluish Gray	Solid Colors	6	0.39
6536	4211775	6536	Technic, Axle and Pin Connector Perpendicular	86	71	Light Bluish Gray	Solid Colors	1	0.39
6541	4179771	6541	Technic, Brick 1 x 1 with Hole	2	19	Tan	Solid Colors	1	0.38
6564	4255463	6564	Wedge 3 x 2 Right	2	19	Tan	Solid Colors	10	1.85
6565	4255464	6565	Wedge 3 x 2 Left	2	19	Tan	Solid Colors	11	1.85
6636	4157277	6636	Tile 1 x 6	2	19	Tan	Solid Colors	2	0.83
85861	6168642	85861	Plate, Round 1 x 1 with Open Stud	1	15	White	Solid Colors	2	0.1
85984	4567887	85984	Slope 30 1 x 2 x 2/3	85	72	Dark Bluish Gray	Solid Colors	31	0.34
85984	4624086	85984	Slope 30 1 x 2 x 2/3	2	19	Tan	Solid Colors	8	0.34
87079	4560183	87079	Tile 2 x 4	86	71	Light Bluish Gray	Solid Colors	2	0.9
87580	4565323	87580	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)	11	0	Black	Solid Colors	1	0.5
87580	6126075	87580	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)	69	28	Dark Tan	Solid Colors	1	0.5
87580	4565321	87580	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)	6	2	Green	Solid Colors	2	0.5
87580	4565387	87580	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)	2	19	Tan	Solid Colors	2	0.5
87580	6126082	87580	Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)	86	71	Light Bluish Gray	Solid Colors	2	0.5
91405	4620130	91405	Plate 16 x 16	86	71	Light Bluish Gray	Solid Colors	3	35.0
91405	4610305	91405	Plate 16 x 16	7	1	Blue	Solid Colors	13	35.0
91405		91405	Plate 16 x 16	104	29	Bright Pink	Solid Colors	3	35
92946	6069164	92946	Slope 45 2 x 1 with 2/3 Cutout	85	72	Dark Bluish Gray	Solid Colors	10	0.42
92946	6069165	92946	Slope 45 2 x 1 with 2/3 Cutout	2	19	Tan	Solid Colors	7	0.42
3022	4613975	3022	Plate 2 x 2	88	70	Reddish Brown	Solid Colors	7	0.64
3022	4613974	3022	Plate 2 x 2	5	4	Red	Solid Colors	1	0.64
3022	4613976	3022	Plate 2 x 2	1	15	White	Solid Colors	4	0.64
98138	4655241	98138	Tile, Round 1 x 1	95	179	Flat Silver	Pearl Colors	6	0.11
98138	6148244	98138	Tile, Round 1 x 1	108	35	Trans-Bright Green	Transparent Colors	23	0.11
98138	6273627	98138	Tile, Round 1 x 1	14	33	Trans-Dark Blue	Transparent Colors	7	0.11
98138	4646844	98138	Tile, Round 1 x 1	1	15	White	Solid Colors	4	0.11
98138	6274742	98138	Tile, Round 1 x 1	20	34	Trans-Green	Transparent Colors	15	0.11
									
Total qty	Total Weight								
4537	5315.149								
